,Titulos,Plataforma,Fecha,MetaScore,UserScore
0,Persona 5 Royal,PlayStation4,"March 31, 2020",95,8.2
1,The Last of Us Part II,PlayStation4,"June 19, 2020",93,5.6
2,Ori and the Will of the Wisps,Switch,"September 17, 2020",93,9.1
3,Half-Life: Alyx,PC,"March 23, 2020",93,9.1
4,Hades,PC,"September 17, 2020",92,9.0
5,Hades,Switch,"September 17, 2020",92,9.3
6,Microsoft Flight Simulator,PC,"August 18, 2020",92,7.1
7,Spelunky 2,PC,"September 29, 2020",91,7.1
8,F1 2020,XboxOne,"July 10, 2020",91,7.2
9,Crusader Kings III,PC,"September 1, 2020",91,8.3
10,Animal Crossing: New Horizons,Switch,"March 20, 2020",90,5.4
11,Ori and the Will of the Wisps,XboxOne,"March 11, 2020",90,8.8
12,Yakuza 0,XboxOne,"February 26, 2020",90,7.9
13,Xenoblade Chronicles: Definitive Edition,Switch,"May 29, 2020",89,8.9
14,Tony Hawk's Pro Skater 1 + 2,PlayStation4,"September 4, 2020",89,9.0
15,Dreams,PlayStation4,"February 14, 2020",89,8.7
16,Tony Hawk's Pro Skater 1 + 2,PC,"September 4, 2020",88,7.5
17,Tony Hawk's Pro Skater 1 + 2,XboxOne,"September 4, 2020",88,8.7
18,Ori and the Will of the Wisps,PC,"March 11, 2020",88,8.6
19,DOOM Eternal,XboxOne,"March 19, 2020",88,8.4
20,Halo: The Master Chief Collection - Halo 3,PC,"July 14, 2020",88,8.0
21,F1 2020,PC,"July 9, 2020",88,6.9
22,A Short Hike,Switch,"August 18, 2020",88,8.6
23,DOOM Eternal,PC,"March 20, 2020",88,7.7
24,Pistol Whip,PlayStation4,"July 30, 2020",88,6.7
25,Kentucky Route Zero: TV Edition,PlayStation4,"January 28, 2020",88,6.3
26,Spelunky 2,PlayStation4,"September 15, 2020",87,8.2
27,Monster Hunter: World - Iceborne,PC,"January 9, 2020",87,7.7
28,Final Fantasy VII Remake,PlayStation4,"April 10, 2020",87,8.1
29,Kentucky Route Zero: TV Edition,Switch,"January 28, 2020",87,7.5
30,Kentucky Route Zero: TV Edition,XboxOne,"January 28, 2020",87,6.0
31,DOOM Eternal,PlayStation4,"March 20, 2020",87,8.3
32,Super Mega Baseball 3,Switch,"May 13, 2020",87,7.6
33,Huntdown,XboxOne,"May 12, 2020",87,5.4
34,Legends of Runeterra,PC,"April 29, 2020",87,7.0
35,Persona 4 Golden,PC,"June 13, 2020",87,8.8
36,Death Stranding,PC,"July 14, 2020",86,3.6
37,F1 2020,PlayStation4,"July 6, 2020",86,7.3
38,Huntdown,Switch,"May 12, 2020",86,8.4
39,Panzer Corps 2,PC,"March 19, 2020",86,5.9
40,Cuphead,PlayStation4,"July 28, 2020",86,8.1
41,Streets of Rage 4,Switch,"April 30, 2020",86,8.3
42,13 Sentinels: Aegis Rim,PlayStation4,"September 22, 2020",86,8.8
43,Desperados III,PC,"June 16, 2020",86,8.2
44,Wasteland 3,PC,"August 28, 2020",86,7.7
45,Monster Train,PC,"May 21, 2020",85,8.1
46,Risk of Rain 2,PC,"August 11, 2020",85,8.1
47,Bug Fables: The Everlasting Sapling,Switch,"May 28, 2020",85,8.3
48,Huntdown,PC,"May 12, 2020",85,7.7
49,Deep Rock Galactic,PC,"May 13, 2020",85,8.0
50,Crash Bandicoot 4: It's About Time,PlayStation4,"October 1, 2020",85,8.1
51,Nioh 2,PlayStation4,"March 13, 2020",85,7.9
52,Bayonetta & Vanquish,PlayStation4,"February 18, 2020",85,7.9
53,Two Point Hospital,Switch,"February 25, 2020",85,8.1
54,Desperados III,XboxOne,"June 16, 2020",85,7.5
55,Thronebreaker: The Witcher Tales,Switch,"January 28, 2020",84,7.6
56,If Found...,PC,"May 19, 2020",84,6.4
57,WHAT THE GOLF?,Switch,"May 21, 2020",84,8.2
58,Spiritfarer,PC,"August 18, 2020",84,7.7
59,Wasteland 3,XboxOne,"August 28, 2020",84,7.8
60,Horizon Zero Dawn: Complete Edition,PC,"August 7, 2020",84,5.5
61,Streets of Rage 4,PC,"April 30, 2020",84,7.8
62,BioShock: The Collection,Switch,"May 29, 2020",84,8.6
63,Two Point Hospital,XboxOne,"February 25, 2020",84,6.5
64,Lair of the Clockwork God,PC,"February 21, 2020",84,7.3
65,Lonely Mountains: Downhill,Switch,"May 7, 2020",84,7.2
66,Sega Ages: Fantasy Zone,Switch,"January 23, 2020",84,7.7
67,To the Moon,Switch,"January 16, 2020",84,8.3
68,Resident Evil 3,XboxOne,"April 3, 2020",84,6.1
69,The Legend of Heroes: Trails of Cold Steel III,Switch,"June 30, 2020",84,8.0
70,Bayonetta & Vanquish,XboxOne,"February 18, 2020",83,8.0
71,Ghost of Tsushima,PlayStation4,"July 17, 2020",83,9.2
72,MLB The Show 20,PlayStation4,"March 13, 2020",83,6.6
73,Crash Bandicoot 4: It's About Time,XboxOne,"October 2, 2020",83,0
74,WRC 9 FIA World Rally Championship,XboxOne,"September 4, 2020",83,5.8
75,Spiritfarer,Switch,"August 18, 2020",83,8.3
76,Knights and Bikes,Switch,"February 6, 2020",83,8.3
77,Mega Man Zero / ZX Legacy Collection,Switch,"February 25, 2020",83,8.5
78,EA SPORTS UFC 4,XboxOne,"August 14, 2020",83,1.7
79,Super Mega Baseball 3,XboxOne,"May 13, 2020",83,6.6
80,Sega Ages: Sonic the Hedgehog 2,Switch,"February 20, 2020",83,7.7
81,One Step From Eden,PC,"March 26, 2020",83,8.8
82,Code:Realize - Guardian of Rebirth,Switch,"February 6, 2020",83,6.6
83,Command & Conquer Remastered Collection,PC,"June 5, 2020",82,8.8
84,Freedom Finger,PlayStation4,"March 24, 2020",82,7.6
85,Street Fighter V: Champion Edition,PlayStation4,"February 14, 2020",82,6.2
86,Streets of Rage 4,XboxOne,"April 30, 2020",82,7.8
87,Yakuza 5 Remastered,PlayStation4,"February 11, 2020",82,7.8
88,SUPERHOT: MIND CONTROL DELETE,XboxOne,"July 16, 2020",82,5.4
89,Ruiner,Switch,"June 18, 2020",82,8.2
90,Desperados III,PlayStation4,"June 16, 2020",82,7.6
91,Super Mario 3D All-Stars,Switch,"September 18, 2020",82,6.5
92,Huntdown,PlayStation4,"May 12, 2020",82,7.2
93,Under Night In-Birth Exe:Late[cl-r],Switch,"February 20, 2020",82,7.8
94,The Sims 4: Eco Lifestyle,PC,"June 5, 2020",82,2.4
95,Borderlands Legendary Collection,Switch,"May 29, 2020",82,8.3
96,Devil May Cry 3: Special Edition,Switch,"February 20, 2020",82,8.0
97,Streets of Rage 4,PlayStation4,"April 30, 2020",82,8.0
98,Two Point Hospital,PlayStation4,"February 25, 2020",82,7.2
99,CrossCode,Switch,"July 9, 2020",82,8.2
